idPlayer,kmeans_cluster,archetype,hierarchical_cluster,kda_ratio,headshot_rate,win_rate,entry_aggression,support_score,objective_score
1520,3,Dominant Fragger,0,1.333132530120482,0.33281893004115226,0.5476190476190477,0.12598425196850394,0.033950617283950615,0.05774278215223097
1521,1,Support/Utility Player,3,1.1682127396413111,0.3054003724394786,0.6785714285714286,0.0926007975188303,0.0223463687150838,0.05892778023925565
1522,1,Support/Utility Player,3,1.1755233494363928,0.2776,0.5161290322580645,0.06014580801944107,0.024800000000000003,0.08323207776427705
1523,0,Passive/Low Impact,2,0.9328000000000001,0.31600000000000006,0.36666666666666664,0.054254007398273726,0.01,0.08014796547472257
1524,3,Dominant Fragger,0,1.2683114880493447,0.3718487394957983,0.5833333333333334,0.133492252681764,0.03851540616246498,0.032777115613825986
1525,1,Support/Utility Player,3,1.272196261682243,0.3661538461538461,0.4318181818181818,0.09060118543607112,0.036923076923076927,0.1354784081287045
1527,2,Balanced Aggressor,2,0.8897727272727272,0.3274336283185841,0.5348837209302325,0.10615521855486174,0.017699115044247787,0.06958073148974131
1529,3,Dominant Fragger,0,1.3658178256611164,0.38356697819314645,0.46464646464646464,0.14581791265729088,0.036543516355140186,0.041820873427091045
1530,2,Balanced Aggressor,2,0.9597701149425287,0.3678571428571428,0.5333333333333333,0.07623318385650224,0.010714285714285714,0.033632286995515695
1531,2,Balanced Aggressor,0,1.2019292604501608,0.39727685325264755,0.4936708860759494,0.10076797765883175,0.019969742813918306,0.0442168955084943
1533,0,Passive/Low Impact,2,1.0248640248640248,0.2810858143607706,0.532258064516129,0.08481613285883749,0.002626970227670753,0.057532621589561087
1534,3,Dominant Fragger,1,1.31672689726381,0.39122883195831526,0.4744897959183674,0.1548011639185257,0.01910551454624403,0.06304558680892337
1535,1,Support/Utility Player,1,1.1466905187835421,0.42581211589113255,0.4727272727272727,0.10529845741113346,0.035996488147497806,0.07981220657276995
1536,3,Dominant Fragger,0,1.3567362428842507,0.36726926736441484,0.5255474452554745,0.1153217011995638,0.03393593403108151,0.07415485278080698
1539,1,Support/Utility Player,0,1.3598086124401916,0.36278606965174126,0.5789473684210527,0.08544303797468354,0.030049751243781092,0.06079280479680214
1540,3,Dominant Fragger,0,1.3912727272727272,0.5796252927400468,0.5342465753424658,0.10631578947368421,0.032201405152224825,0.06210526315789474
1543,2,Balanced Aggressor,1,1.0545863815419247,0.3931333127126508,0.45930232558139533,0.11756601607347876,0.03495205691308382,0.036280137772675095
1544,2,Balanced Aggressor,0,1.1714407866609662,0.4489880214787278,0.40336134453781514,0.14217848659653884,0.02973977695167286,0.03698676620291822
1545,1,Support/Utility Player,3,1.2069444444444444,0.3269578702507108,0.4948453608247423,0.08655152338443624,0.04445593176531404,0.0731612652823598
1546,1,Support/Utility Player,1,1.0880733944954126,0.42789373814041753,0.3770491803278688,0.05816259087904825,0.03130929791271348,0.07402511566424323
1547,3,Dominant Fragger,0,1.195806451612903,0.4248502994011977,0.5666666666666667,0.1393685249136655,0.04311377245508982,0.050814010853478045
1548,1,Support/Utility Player,3,1.097125097125097,0.27468879668049795,0.5294117647058824,0.0661925601750547,0.012448132780082988,0.0962800875273523
1551,0,Passive/Low Impact,2,0.8896890343698853,0.35767634854771785,0.2967741935483871,0.11279037223621607,0.017427385892116183,0.05317660229499021
1553,2,Balanced Aggressor,2,1.0215264187866928,0.29438202247191014,0.5517241379310345,0.09333333333333334,0.011235955056179777,0.05333333333333334
1554,0,Passive/Low Impact,2,1.0480427046263345,0.2726915520628684,0.4864864864864865,0.06501784803671597,0.02413161728345562,0.0660377358490566
1555,1,Support/Utility Player,3,1.107701051435067,0.3435582822085889,0.5083798882681564,0.08657648283038503,0.04645048203330412,0.07575442247658688
1556,2,Balanced Aggressor,1,1.1552609067579125,0.319555182543013,0.4788135593220339,0.10726098598204442,0.027392612565959235,0.046779020318160336
1557,2,Balanced Aggressor,1,1.1520119225037257,0.4927325581395349,0.4411764705882353,0.10923423423423424,0.02616279069767442,0.056306306306306314
1558,3,Dominant Fragger,0,1.3677298311444652,0.4829192546583851,0.6071428571428571,0.16956521739130437,0.003105590062111801,0.03768115942028986
1560,1,Support/Utility Player,3,0.9921087242437527,0.3249243188698285,0.37606837606837606,0.0762423417290674,0.052976791120080725,0.0752212389380531
1561,2,Balanced Aggressor,1,1.0208978328173375,0.42702702702702705,0.48333333333333334,0.09912718204488777,0.027485112230874943,0.03428927680798005
